,doc_type,doc_text,doc_id,number_label
0,alt.atheism,article ed mccreary writes thu apr gmt dan lawrence bissell say dlb first want start right say christian dlb make sense read tony campollo book liar dlb lunatic real thing little title dlb writes book anyway part effort destroy christianity dlb process become christian go friendly folk christian central come save,53108,0
1,alt.atheism,article keith allan schneider write well chimp system live social group law dictate undesired behavior promise make broken john law man honor keep give word,53307,0
2,alt.atheism,article mathew write article ken arromdee write system kill non drive passenger mention pedestrian need drive even use car kill indeed kill far system public transport therefore entirely favour ban private car replace train bus taxis bicycle second cycle work day get damned car cretinous driver road lot fun jon,51190,0
3,alt.atheism,article stilgar write fine illiad word god tm dispute dispute matter prove wrong illiad contain word ergo word god humbly agree word god conceed thing relate navy men get tatoos say mom love mom make men bobby mozumder april true muslim leave world,51204,0
4,alt.atheism,article n mozumder write say anything happen atheism beleiver knowledgeable religion good happen become tiresome statement come definition assertion islam good belief islam good therefore islam produce good islam good blah blah circular get equally meaningless say something produce good good produce nothing unapplied definition application say true really believe true silly conversely say handedly anything happen atheism offshoot believe become true believe religion aquainted islam teach exclusion caste suggest harsh penalty behavior logical call punishment certain limit speech sex example good see much pain suffer justification wave hand inaccessible god toss word knowledgable bit carelessly knowledgeable believer contradiction term infer mean believer term faith need knowledge believe faith nothing jim halat,53237,0
5,alt.atheism,keith ryan write nice cop bill sure right idea refer mind explain copped bill,53441,0
6,alt.atheism,article write article petri pihko write dan schaertel write mean learn accept know something right learn accept something know way prefer learn unwise merely swallow everything read suppose write book tell great invisible pink unicorn tm help daily problem accept know true ask swallow everything fact jesus warn let ask question beleive learn history class matter anything school mean people tell want swallow others say right right way get sceptical heart say give sincere effort attitude seem trust go church participate activity ever willing die believe branch dividians believe trust much become impossible turn back reality advocate total irreversible brainwashing dan,53493,0
7,alt.atheism,article gregg jaeger write article jon livesey write hope islamic bank something bcci rip many small depositor muslim community uk elsewhere grow childish propagandist bbci example islamically own operated bank someone bet real islamic owner operator islamic bank bank operate accord rule islam regard bank do explicitly bank case say islamic bank something bcci care explain say hope islamic bank something bcci call childish propagandist jon,53412,0
8,alt.atheism,turn jump article keith allan schneider write reference line trim jon livesey write good deal confusion start assertion objective morality admit finish recursive definition murder objectively immoral eactly murder require appeal morality think mean circular recursive semantics recursiveness problem horribly inefficient ask assembly programmer yes switch target little little ask goal mean goal suggest objective goal somewhere form moral achieve well example goal natural morality survival propogation species example moral system present declaration independence state guarantee life liberty pursuit happiness see moral system define purpose system moral unto end oft quote line say people guarantee life liberty pursuit happiness inalienable right complete lie deception author line process prove liberty never free always purchase cost almost always cost who liberty inalienable similarly right life person die save even group others whos life inalienable lead classic question value death penalty especially serial killer whos life liberty valuable serial killer victim accord beautiful line right completely inviolate noone able remove include government admittedly serial killer restrict people life liberty life liberty inviolate also accord declaration independence murder certainly violation golden rule think define murder intentional kill non murderer mean kill infant murder reason infant similarly people brain dead easy see coma also current law accidental kill still murder include respond ask execution innocent person system capital punishment murder fail see anything never claim system morality objective thought first claim kind objective morality example murder wrong want claim fine real golden rule life gold make rule e make right survival wrong well murder violate golen rule certainly pillar moral system however assume current system manner implementation objectively moral think good approximation perfect mean golden rule state yes almost system implement used reality sorry deal much fiction reality way seem understand difference arbitrary objective keith schneider defines murder arbitrary jon livesey still say well accord personal system morality kill human murder wrong legal definition murder usa kuweit saudi arabia prc matter whit welcome ozland arbitrary find part society societal rule moral etc arbitrary please tell think well objective assume system base clear fundamental concept arbitary implies clear line reason keith sound euphemisms difference seem objective reason arbitrary reason understand,51156,0
9,alt.atheism,keith ryan write article frank dwyer write good logic well bad good science well bad definition great good okay bad horrible good bad good define well bad come setup subjective enough people agree switch order define unknown thing good well bad bad bad good circular mac sun start orbit earth bible michael cobb raise tax middle university illinois class pay program champaign urbana bill clinton debate new tax spending cut still dollar deficit,53151,0
